Timestamp,Threat_Type,Source_IP,Destination_IP,Severity,Description
2026-01-01 12:17:00,DDoS,114.224.29.66,215.181.136.18,Low,HTTP flood
2026-01-01 12:17:02,Ransomware,172.141.28.115,39.157.116.186,Critical,Ransom note detected
2026-01-01 12:17:04,Brute Force,25.175.203.85,149.151.127.33,High,FTP unauthorized access
2026-01-01 12:17:08,Brute Force,44.83.181.31,121.132.61.10,High,FTP unauthorized access
2026-01-01 12:17:11,DDoS,128.221.126.210,99.75.215.52,Medium,HTTP flood
2026-01-01 12:17:14,Ransomware,73.110.117.176,20.124.187.129,Critical,File encryption started
2026-01-01 12:17:39,Phishing,140.92.246.183,39.72.29.214,Medium,Credential harvesting
2026-01-01 12:17:41,DDoS,65.212.22.254,228.102.42.144,Low,Traffic spike detected
2026-01-01 12:17:44,Malware,122.30.245.51,195.207.163.46,Low,Trojan detected
2026-01-01 12:17:46,Malware,226.114.198.76,6.55.69.37,Low,Rootkit found
2026-01-01 12:17:50,Malware,201.203.247.156,44.114.116.124,Medium,Worm propagation
2026-01-01 12:17:53,DDoS,189.160.241.23,40.254.113.235,Low,HTTP flood
2026-01-01 12:17:57,DDoS,118.32.96.129,47.22.106.124,Medium,HTTP flood
2026-01-01 12:18:00,Brute Force,90.139.81.159,157.80.253.233,Critical,Multiple login failures
2026-01-01 12:18:02,Ransomware,182.112.115.210,18.179.12.133,Critical,Shadow copy deletion
2026-01-01 12:18:05,Brute Force,236.100.133.22,126.27.120.50,Critical,FTP unauthorized access
2026-01-01 12:18:07,Brute Force,37.72.54.160,54.71.138.46,Low,RDP brute force
2026-01-01 12:18:11,Malware,223.99.82.191,200.228.76.121,Low,Trojan detected
2026-01-01 12:18:12,Malware,77.229.62.78,116.185.180.23,Low,Rootkit found
2026-01-01 12:18:16,DDoS,242.156.106.141,59.96.129.144,High,Traffic spike detected
2026-01-01 12:18:20,Ransomware,79.14.148.77,218.61.108.205,Critical,File encryption started
2026-01-01 12:18:22,Malware,23.150.54.170,52.87.28.21,Medium,Worm propagation
2026-01-01 12:18:25,Malware,45.80.185.71,169.195.110.144,Medium,Worm propagation
2026-01-01 12:18:26,DDoS,10.219.1.253,81.54.122.174,Medium,SYN flood
2026-01-01 12:18:27,Ransomware,255.198.226.175,23.17.35.14,Critical,Encrypted backup attempt
2026-01-01 12:18:28,Ransomware,26.121.1.73,131.105.147.3,Critical,Shadow copy deletion
2026-01-01 12:18:32,DDoS,61.94.209.64,217.213.198.118,Critical,Traffic spike detected
2026-01-01 12:18:34,Malware,235.188.110.34,240.18.231.110,Medium,Spyware activity
2026-01-01 12:18:36,Brute Force,63.7.176.117,78.97.214.161,Low,Multiple login failures
